EthiopianMonth,EthMonNum,EthYear,RegionName,ZoneName,WoredaName,DeliveredPrivateClinics,DeliveredPublicClinics,DeliveredOther,DeliveredTotal
Miyazia,8th,2009,Oromia,West Shewa,Ambo,70,89,77,236
Teqemt,2nd,2010,Oromia,Buno Bedele,Chewaqa,0,12,14,26
Nehase,12th,2010,Oromia,South West Shewa,St.Luke Hospital,6,2,27,35
Megabit,7th,2009,Oromia,Arsi,Enkelo Wabe,15,96,16,127
Hedar,3rd,2011,Oromia,East Hararge,Goro Gutu,96,47,92,235
Nehase,12th,2010,Oromia,Arsi,Chole,51,17,33,101
Ginbot,9th,2009,Oromia,East Hararge,Fedis,71,84,74,229
Nehase,12th,2009,Oromia,Bishoftu Town,Bishoftu Town,74,70,25,169
Megabit,7th,2011,Oromia,Ambo Town,Ambo Town,75,18,20,113
Sene,10th,2010,Oromia,West Wellega,Nole Kaba,57,22,65,144
Teqemt,2nd,2011,Oromia,South West Shewa,Tulu Bolo Hospital,4,99,46,149
Sene,10th,2009,Oromia,West Arsi,Kore,51,3,58,112
Sene,10th,2010,Oromia,East Hararge,Haromaya Town,74,33,25,132
Tahesas,4th,2010,Oromia,Arsi,Tena,2,79,6,87
Meskerem,1st,2011,Oromia,South West Shewa,Ilu,18,41,6,65
Nehase,12th,2009,Oromia,Ilu Aba Bora,Doreni,29,10,76,115
Tir,5th,2010,Oromia,Qeleme Wellega,Hawa Gelan,15,92,94,201
Megabit,7th,2010,Oromia,South West Shewa,Dawo,86,51,38,175
Miyazia,8th,2009,Oromia,West Shewa,Tibe Kutaye,88,20,81,189
Sene,10th,2009,Oromia,East Hararge,Midega Tole,13,50,32,95
Hedar,3rd,2011,Oromia,West Shewa,Bako Hospital,66,66,97,229
Hedar,3rd,2010,Oromia,South West Shewa,Woliso Rural,90,48,56,194
Meskerem,1st,2011,Oromia,Arsi,Munesa,79,23,15,117
Nehase,12th,2010,Oromia,Nekemte Town,Nekemte Town,95,68,5,168
Teqemt,2nd,2010,Oromia,East Hararge,Kumbi,66,91,71,228
Yekatit,6th,2009,Oromia,East Hararge,Garemuleta Hospital,45,78,92,215
Sene,10th,2009,Oromia,West Arsi,Kore,6,37,26,69
Megabit,7th,2011,Oromia,South West Shewa,Sodo Dac'Ha,82,36,73,191
Ginbot,9th,2009,Oromia,Horo Gudru Wellega,Hababo Guduru,69,94,89,252
Ginbot,9th,2010,Oromia,Buno Bedele,Bedele Town,11,5,14,30
Nehase,12th,2009,Oromia,West Guji,Dugda Dawa,89,88,35,212
Hamle,11th,2010,Oromia,West Arsi,Kore,32,76,50,158
Ginbot,9th,2010,Oromia,Borena,Wachile,20,12,13,45
Yekatit,6th,2010,Oromia,West Wellega,Mene Sibu,60,61,43,164
Nehase,12th,2009,Oromia,Arsi,Tiyo,53,27,95,175
Meskerem,1st,2010,Oromia,West Wellega,Boji Dermeji,8,17,28,53
Meskerem,1st,2010,Oromia,West Wellega,Nejo Hospital,18,99,9,126
Nehase,12th,2010,Oromia,Jimma,Mana,99,14,64,177
Ginbot,9th,2009,Oromia,Bale,Dawe Serar,14,77,79,170
Hedar,3rd,2011,Oromia,Arsi,Munesa,33,54,70,157
Megabit,7th,2011,Oromia,South West Shewa,Sodo Dac'Ha,21,93,71,185
Megabit,7th,2009,Oromia,West Wellega,Gimbi Rural,35,55,28,118
Yekatit,6th,2010,Oromia,Adama Special Town,Adama Town,9,71,83,163
Yekatit,6th,2009,Oromia,West Wellega,Gimbi,56,45,70,171
Teqemt,2nd,2010,Oromia,Borena,Meyo,3,78,5,86
Megabit,7th,2011,Oromia,East Wellega,Gudeyabila,57,78,17,152
Ginbot,9th,2010,Oromia,Borena,Dhas,95,32,47,174
Ginbot,9th,2009,Oromia,Jimma,B/Tolyi,18,88,82,188
Meskerem,1st,2010,Oromia,East Hararge,Kurfa Chele,65,49,87,201
Tir,5th,2010,Oromia,West Wellega,Mendi Town,23,2,59,84
Teqemt,2nd,2010,Oromia,West Arsi,Wondo,32,75,80,187
Hedar,3rd,2010,Oromia,Borena,El Way,72,33,38,143
Meskerem,1st,2010,Oromia,Arsi,Robe,9,80,57,146
Hamle,11th,2009,Oromia,West Shewa,Chelia,85,16,23,124
Meskerem,1st,2010,Oromia,Jimma,Limu Seka,25,38,89,152
Ginbot,9th,2011,Oromia,Arsi,Munesa,50,48,56,154
Hamle,11th,2010,Oromia,West Hararge,Daro Lebu,91,3,67,161
Tahesas,4th,2010,Oromia,Finfine Zuria,Mullo,94,10,18,122
Nehase,12th,2010,Oromia,Burayu Town,Burayu Town,91,34,81,206
Yekatit,6th,2009,Oromia,Bale,Ginir Town,71,27,55,153
Sene,10th,2010,Oromia,East Hararge,Gursum,82,12,5,99
Yekatit,6th,2009,Oromia,Guji,Shakiso Town,98,58,22,178
Miyazia,8th,2010,Oromia,Borena,El Way,60,26,60,146
Yekatit,6th,2010,Oromia,East Hararge,Gursum,7,14,88,109
Nehase,12th,2010,Oromia,Jimma,Dedo,87,34,48,169
Nehase,12th,2009,Oromia,Horo Gudru Wellega,Horo,19,69,84,172
Ginbot,9th,2009,Oromia,Qeleme Wellega,Gawo Qebe,43,14,83,140
Ginbot,9th,2011,Oromia,West Hararge,Guba Qoricha,56,67,11,134
Tahesas,4th,2011,Oromia,East Wellega,Wama Hagelo,6,20,53,79
Yekatit,6th,2009,Oromia,Borena,Dire,27,94,40,161
Meskerem,1st,2011,Oromia,Guji,Bore,80,42,48,170
Megabit,7th,2009,Oromia,West Wellega,Jarso,69,0,89,158
Tir,5th,2011,Oromia,West Hararge,Meiso,98,80,98,276
Megabit,7th,2010,Oromia,South West Shewa,Goro,19,60,26,105
Megabit,7th,2011,Oromia,Arsi,Enkelo Wabe,47,67,22,136
Ginbot,9th,2010,Oromia,West Shewa,Tibe Kutaye,59,99,4,162
Hamle,11th,2010,Oromia,Ilu Aba Bora,Algesachi,37,91,98,226
Nehase,12th,2009,Oromia,Guji,Dima,53,43,80,176
Hamle,11th,2010,Oromia,Bale,Dawe Serar,36,11,30,77
Tahesas,4th,2010,Oromia,West Wellega,Guliso,20,18,72,110
Tahesas,4th,2010,Oromia,Ilu Aba Bora,Yayu,8,23,71,102
Sene,10th,2009,Oromia,North Shewa,Wuchale,19,67,46,132
Miyazia,8th,2010,Oromia,East Hararge,Jarso,85,64,63,212
Megabit,7th,2011,Oromia,East Hararge,Girawa,79,26,71,176
Sene,10th,2010,Oromia,Borena,Gomole,69,51,95,215
Miyazia,8th,2011,Oromia,Borena,Yabelo,65,56,91,212
Yekatit,6th,2011,Oromia,North Shewa,Kimbibit,65,96,82,243
Yekatit,6th,2009,Oromia,South West Shewa,Sodo Dac'Ha,47,19,81,147
Nehase,12th,2010,Oromia,Finfine Zuria,Berreh,41,32,88,161
Tir,5th,2011,Oromia,Qeleme Wellega,Anfilo,9,50,1,60
Miyazia,8th,2011,Oromia,West Hararge,Guba Qoricha,91,72,39,202
Teqemt,2nd,2011,Oromia,Finfine Zuria,Sululta Town,77,55,23,155
Tir,5th,2011,Oromia,East Hararge,Chinakesen,55,58,19,132
Tahesas,4th,2011,Oromia,East Hararge,Babile,71,56,33,160
Megabit,7th,2009,Oromia,West Wellega,Begi Hospital,57,4,66,127
Teqemt,2nd,2010,Oromia,East Hararge,Kurfa Chele,77,42,37,156
Hamle,11th,2010,Oromia,Jimma,Dedo,51,38,21,110
Sene,10th,2009,Oromia,West Wellega,Nejo Hospital,94,83,93,270
Sene,10th,2010,Oromia,East Wellega,Haro Limu,43,18,92,153
Hedar,3rd,2010,Oromia,Arsi,Deksis,87,5,98,190
Meskerem,1st,2011,Oromia,Buno Bedele,Bedele Hospital,6,23,15,44
Tahesas,4th,2011,Oromia,North Shewa,Hidabu Abote,0,77,84,161
Teqemt,2nd,2010,Oromia,West Wellega,Mendi Hospital,36,40,22,98
Megabit,7th,2011,Oromia,East Shewa,Dugda,91,42,38,171
Ginbot,9th,2011,Oromia,Bale,Delo Mena,91,50,79,220
Meskerem,1st,2011,Oromia,Borena,Gomole,82,91,38,211
Meskerem,1st,2010,Oromia,Borena,Gomole,89,27,87,203
Hamle,11th,2009,Oromia,Ilu Aba Bora,Ale,49,51,91,191
Meskerem,1st,2010,Oromia,West Guji,Bule Hora Hospital,32,14,7,53
Miyazia,8th,2011,Oromia,Dukem Town,Dukem Town,17,26,69,112
Ginbot,9th,2010,Oromia,Arsi,Digeluna Tijo,17,81,16,114
Ginbot,9th,2009,Oromia,West Hararge,West Harerge	Gumbi Bordede,62,33,96,191
Yekatit,6th,2011,Oromia,Bale,Goro,40,23,55,118
Sene,10th,2010,Oromia,West Shewa,Ambo Hospital,57,36,77,170
Sene,10th,2010,Oromia,West Arsi,Wondo,19,72,28,119
Megabit,7th,2011,Oromia,Finfine Zuria,Walmera,66,56,73,195
Nehase,12th,2009,Oromia,North Shewa,Abichugna,97,8,85,190
Ginbot,9th,2010,Oromia,East Hararge,Midega Tole,22,45,97,164
Hedar,3rd,2010,Oromia,East Hararge,Garemuleta Hospital,34,11,0,45
Ginbot,9th,2011,Oromia,Jimma,Agaro,44,64,60,168
Nehase,12th,2009,Oromia,North Shewa,Abichugna,79,60,29,168
Ginbot,9th,2011,Oromia,Qeleme Wellega,Gidami,2,44,84,130
Teqemt,2nd,2010,Oromia,Guji,Odo Shakiso,69,14,84,167
Miyazia,8th,2010,Oromia,Finfine Zuria,Akaki,38,17,98,153
Sene,10th,2010,Oromia,West Arsi,Kokosa,70,52,85,207
Megabit,7th,2011,Oromia,Ilu Aba Bora,Bure,90,94,32,216
Meskerem,1st,2011,Oromia,East Hararge,Bedeno,20,84,76,180
Hamle,11th,2010,Oromia,North Shewa,Fichetown,32,62,90,184
Yekatit,6th,2009,Oromia,North Shewa,Hidabu Abote,14,73,94,181
Tir,5th,2011,Oromia,Guji,Negele Hospital,47,41,99,187
Yekatit,6th,2009,Oromia,Bale,Delo Mena,34,7,74,115
Megabit,7th,2011,Oromia,Sululta Town,Sululta Town,23,34,76,133
Megabit,7th,2010,Oromia,Buno Bedele,Diga,36,47,65,148
Sene,10th,2011,Oromia,Sululta Town,Sululta Town,83,74,60,217
Hamle,11th,2009,Oromia,East Wellega,Boneya Bushe,70,62,42,174
Meskerem,1st,2011,Oromia,West Shewa,Gindeberet Hospital,42,50,6,98
Hedar,3rd,2011,Oromia,Ilu Aba Bora,Metu Rural,30,97,21,148
Yekatit,6th,2009,Oromia,West Hararge,West Harerge	Gumbi Bordede,45,63,80,188
Tir,5th,2010,Oromia,Bale,Goba Town,94,81,1,176
Megabit,7th,2010,Oromia,South West Shewa,Dawo,60,81,98,239
Hedar,3rd,2010,Oromia,Bale,Legehida,82,94,42,218
Nehase,12th,2010,Oromia,West Shewa,Gindeberet Hospital,91,30,51,172
Sene,10th,2009,Oromia,Borena,Wachile,23,19,11,53
Megabit,7th,2009,Oromia,West Wellega,Ayira Hospital,23,97,85,205
Tahesas,4th,2011,Oromia,Arsi,Merti,52,43,98,193
Sene,10th,2009,Oromia,West Arsi,Shala,16,81,46,143
Hedar,3rd,2011,Oromia,Arsi,Ludehetosa,47,9,92,148
Sene,10th,2009,Oromia,Jimma,Shabe,30,62,13,105
Meskerem,1st,2010,Oromia,Jimma,Chora Boter,8,7,36,51
Teqemt,2nd,2011,Oromia,Bale,Ginir Town,84,87,98,269
Miyazia,8th,2011,Oromia,Nekemte Town,Nekemte Town,62,21,7,90
Nehase,12th,2009,Oromia,West Arsi,Dodola Rural,51,18,15,84
Yekatit,6th,2009,Oromia,East Hararge,Deder,28,49,27,104
Hamle,11th,2010,Oromia,Arsi,Tena,95,57,1,153
Tir,5th,2009,Oromia,North Shewa,Jido,61,99,40,200
Tir,5th,2011,Oromia,West Arsi,Shashemene Rural,18,87,94,199
Hamle,11th,2009,Oromia,East Hararge,Garemuleta Hospital,75,88,1,164
Nehase,12th,2010,Oromia,Jimma,Mancho,30,88,62,180
Meskerem,1st,2011,Oromia,East Hararge,Haromaya Hospital,25,30,17,72
Hedar,3rd,2010,Oromia,West Guji,Dugda Dawa,62,3,79,144
Sene,10th,2010,Oromia,West Arsi,Shala,31,42,13,86
Tir,5th,2009,Oromia,East Hararge,Meyu Muleke,40,85,39,164
Hamle,11th,2009,Oromia,West Shewa,Guder Hosp,74,74,46,194
Nehase,12th,2010,Oromia,North Shewa,Kimbibit,37,51,5,93
Nehase,12th,2009,Oromia,East Hararge,Gole Oda,79,0,5,84
Meskerem,1st,2010,Oromia,Arsi,Guna,56,45,37,138
Tahesas,4th,2011,Oromia,East Hararge,Midega Tole,45,20,82,147
Hedar,3rd,2011,Oromia,Arsi,Aseko,63,24,32,119
Sene,10th,2010,Oromia,Jimma,Limu Kosa,1,79,93,173
Yekatit,6th,2009,Oromia,West Arsi,Shala,73,60,16,149
Megabit,7th,2009,Oromia,East Shewa,Batu,61,76,84,221
Tir,5th,2009,Oromia,West Guji,Kercha Hospital,66,24,95,185
Tir,5th,2009,Oromia,Arsi,Amigna,0,51,11,62
Teqemt,2nd,2010,Oromia,East Hararge,Haromaya Hospital,50,98,91,239
Sene,10th,2011,Oromia,Borena,Teltele,93,6,0,99
Tir,5th,2011,Oromia,Arsi,Jeju,6,56,23,85
Miyazia,8th,2011,Oromia,West Hararge,Habro,67,53,59,179
Hedar,3rd,2011,Oromia,Qeleme Wellega,Kake Hosp,97,66,90,253
Yekatit,6th,2009,Oromia,West Shewa,Meta Waliqite,34,10,54,98
Hamle,11th,2009,Oromia,West Hararge,Hawi Gudina,13,52,76,141
Tahesas,4th,2010,Oromia,North Shewa,Aleiltu,60,76,43,179
Sene,10th,2009,Oromia,Horo Gudru Wellega,Gudru,10,82,6,98
Yekatit,6th,2009,Oromia,Qeleme Wellega,Gawo Qebe,63,23,98,184
Tir,5th,2010,Oromia,North Shewa,Abichugna,22,13,46,81
Tahesas,4th,2010,Oromia,Adama Special Town,Adama Town,66,36,84,186
Ginbot,9th,2011,Oromia,West Guji,Bule Hora Toun,25,86,50,161
Miyazia,8th,2009,Oromia,West Wellega,Boji Dermeji,97,76,74,247
Ginbot,9th,2011,Oromia,North Shewa,Kimbibit,22,21,5,48
Yekatit,6th,2011,Oromia,West Wellega,Begi Hospital,32,87,35,154
Meskerem,1st,2011,Oromia,Ilu Aba Bora,Darimu,98,48,86,232
Nehase,12th,2010,Oromia,Jimma,Omonada,1,27,76,104
Hedar,3rd,2011,Oromia,Qeleme Wellega,Dale Wabera,49,90,17,156
Tir,5th,2010,Oromia,Jimma,Sigmo,24,85,6,115
Sene,10th,2009,Oromia,Guji,Gumi Eldallo,92,27,15,134
Teqemt,2nd,2011,Oromia,Arsi,Merti,26,7,5,38
Megabit,7th,2010,Oromia,Qeleme Wellega,Gidami,71,90,28,189
Megabit,7th,2010,Oromia,Guji,Gumi Eldallo,15,64,47,126
Tahesas,4th,2011,Oromia,West Shewa,Codi,93,61,48,202
Yekatit,6th,2011,Oromia,Guji,Girja,46,0,31,77
Hamle,11th,2009,Oromia,South West Shewa,Tole,90,11,83,184
Tahesas,4th,2011,Oromia,East Shewa,Adami Tulu Jido Kombolcha,48,43,72,163
Hedar,3rd,2011,Oromia,East Shewa,Adea,29,81,28,138
Tir,5th,2011,Oromia,Jimma,Omonada,18,51,73,142
Miyazia,8th,2011,Oromia,Arsi,Merti,41,75,13,129
Meskerem,1st,2011,Oromia,Horo Gudru Wellega,Shambu Hospital,76,96,58,230
Yekatit,6th,2011,Oromia,Qeleme Wellega,Gidami,10,99,57,166
Sene,10th,2010,Oromia,East Hararge,Meyu Muleke,79,17,41,137
Nehase,12th,2010,Oromia,West Arsi,Arsi Negele Rural,7,82,35,124
Tir,5th,2009,Oromia,Bale,Robe Town,96,84,99,279
Hedar,3rd,2010,Oromia,West Shewa,Bako Tibe,97,21,48,166
Yekatit,6th,2009,Oromia,West Guji,Abaya,51,59,8,118
Megabit,7th,2009,Oromia,South West Shewa,Ameya,71,4,45,120
Hamle,11th,2009,Oromia,Guji,Girja,62,96,58,216
Meskerem,1st,2010,Oromia,West Arsi,Kokosa,8,3,83,94
Teqemt,2nd,2011,Oromia,West Guji,Dugda Dawa,63,92,79,234
Miyazia,8th,2010,Oromia,Bale,Legehida,34,78,38,150
Ginbot,9th,2010,Oromia,Bale,Raitu,10,63,0,73
Miyazia,8th,2010,Oromia,West Wellega,Boji Dermeji,66,13,91,170
Ginbot,9th,2010,Oromia,Ilu Aba Bora,Metu Rural,33,86,18,137
Tahesas,4th,2011,Oromia,Arsi,Amigna,60,13,84,157
Ginbot,9th,2009,Oromia,North Shewa,Yaya Gulele,32,65,95,192
Hedar,3rd,2011,Oromia,West Shewa,Abuna Gindeberet,54,30,65,149
Sene,10th,2009,Oromia,Shashamane Town,Shashamane Town,20,71,58,149
Meskerem,1st,2010,Oromia,Arsi,Aseko,85,58,41,184
Nehase,12th,2010,Oromia,Buno Bedele,Bedele Hospital,18,79,53,150
Hamle,11th,2010,Oromia,West Shewa,Midakegni,19,54,65,138
Hedar,3rd,2011,Oromia,Jimma,Sekoru,27,39,44,110
Sene,10th,2011,Oromia,East Hararge,Goro Gutu,11,10,51,72
Ginbot,9th,2010,Oromia,Arsi,Dodota,23,6,34,63
Nehase,12th,2010,Oromia,Arsi,Jeju,80,49,23,152
Tir,5th,2011,Oromia,Buno Bedele,Diga,43,26,3,72
Ginbot,9th,2011,Oromia,Jimma,Kersa,13,67,60,140
Tir,5th,2011,Oromia,West Wellega,Jarso,85,98,0,183
Nehase,12th,2009,Oromia,East Hararge,Garemuleta Hospital,53,47,37,137
Teqemt,2nd,2011,Oromia,West Wellega,Ayira,80,24,32,136
Megabit,7th,2011,Oromia,Guji,Hambela Wamena,4,18,49,71
Tir,5th,2011,Oromia,West Hararge,Gelemso Hospital,50,28,45,123
Megabit,7th,2010,Oromia,North Shewa,Kuyu,12,60,85,157
Tir,5th,2011,Oromia,North Shewa,Yaya Gulele,59,72,58,189
Ginbot,9th,2011,Oromia,Jimma,O/Beyam,33,28,47,108
Nehase,12th,2009,Oromia,Guji,Liben,16,70,70,156
Sene,10th,2009,Oromia,Jimma,Setema,96,3,56,155
Hedar,3rd,2010,Oromia,West Wellega,Qiltu Kara,51,26,68,145
Ginbot,9th,2011,Oromia,Guji,Adola Reda,43,39,74,156
Hedar,3rd,2011,Oromia,Guji,Girja,38,53,3,94
Nehase,12th,2010,Oromia,Jimma,Setema,89,28,89,206
Tir,5th,2009,Oromia,West Shewa,Ilu Galan,29,30,50,109
Hedar,3rd,2011,Oromia,West Shewa,Guder Hosp,80,90,54,224
Yekatit,6th,2010,Oromia,Bale,Sinana,42,86,5,133
Sene,10th,2009,Oromia,West Wellega,Homa,63,25,6,94
Teqemt,2nd,2011,Oromia,Borena,Meyo,66,93,50,209
Ginbot,9th,2010,Oromia,Dukem Town,Dukem Town,78,9,59,146
Tahesas,4th,2011,Oromia,Qeleme Wellega,Hawa Gelan,20,89,6,115
Tir,5th,2009,Oromia,West Arsi,Arsi Negele Rural,0,66,79,145
Ginbot,9th,2011,Oromia,East Hararge,Chelenko Hospital,74,26,70,170
Megabit,7th,2009,Oromia,Jimma,Omonada,84,6,63,153
Teqemt,2nd,2011,Oromia,Guji,Gumi Eldallo,77,44,35,156
Ginbot,9th,2010,Oromia,West Shewa,Meta Waliqite,66,39,41,146
Sene,10th,2011,Oromia,West Shewa,Dano,31,87,80,198
Tir,5th,2009,Oromia,Ilu Aba Bora,Ale,66,35,85,186
Megabit,7th,2010,Oromia,West Arsi,Hebal Arsi,94,20,33,147
Tahesas,4th,2010,Oromia,Guji,Wadara,64,76,2,142
Ginbot,9th,2011,Oromia,East Hararge,Girawa,17,85,35,137
Meskerem,1st,2010,Oromia,West Wellega,Ayira Hospital,35,80,89,204
Miyazia,8th,2011,Oromia,West Arsi,Siraro,42,74,90,206
Yekatit,6th,2009,Oromia,West Shewa,Nono,57,64,17,138
Yekatit,6th,2010,Oromia,Finfine Zuria,Sebeta Awas,3,85,48,136
Tahesas,4th,2010,Oromia,Qeleme Wellega,Dambi Dolo Hospital,8,4,53,65
Tahesas,4th,2011,Oromia,East Hararge,Meyu Muleke,92,38,22,152
Nehase,12th,2009,Oromia,Assela Town,Assela Town,68,2,45,115
Sene,10th,2009,Oromia,Guji,Hambela Wamena,11,26,80,117
Miyazia,8th,2011,Oromia,Horo Gudru Wellega,Gudru,25,56,55,136
Tahesas,4th,2011,Oromia,Bishoftu Town,Bishoftu Town,50,48,36,134
Yekatit,6th,2011,Oromia,West Wellega,Nejo Town,61,37,20,118
Sene,10th,2010,Oromia,West Hararge,Burka Dimtu,87,31,38,156
Ginbot,9th,2010,Oromia,Jimma,Mancho,99,36,5,140
Hedar,3rd,2010,Oromia,Borena,El Way,8,59,68,135
Miyazia,8th,2009,Oromia,West Shewa,Adea Berga,87,71,24,182
Hamle,11th,2010,Oromia,South West Shewa,Becho,50,64,64,178
Nehase,12th,2010,Oromia,Borena,Dubluk,28,21,13,62
Sene,10th,2010,Oromia,West Shewa,Midakegni,88,16,66,170
Miyazia,8th,2009,Oromia,Qeleme Wellega,Laloqile,32,77,18,127
Miyazia,8th,2011,Oromia,West Hararge,Hawi Gudina,87,74,8,169
Ginbot,9th,2010,Oromia,West Shewa,Ilu Galan,35,81,30,146
Tir,5th,2010,Oromia,West Shewa,Dendi,74,60,45,179
Sene,10th,2009,Oromia,Finfine Zuria,Berreh,0,29,90,119
Hedar,3rd,2011,Oromia,West Hararge,Daro Lebu,3,68,0,71
Sene,10th,2009,Oromia,South West Shewa,Tole,67,65,51,183
Nehase,12th,2010,Oromia,Ilu Aba Bora,Metu Town,7,11,47,65
Megabit,7th,2011,Oromia,East Shewa,Bora,39,67,2,108
Tir,5th,2011,Oromia,Buno Bedele,Diga,2,12,79,93
Miyazia,8th,2011,Oromia,East Wellega,Diga,85,58,9,152
Tir,5th,2010,Oromia,West Hararge,Boke,58,67,79,204
Tir,5th,2010,Oromia,Bale,Agarfa,90,84,6,180
Nehase,12th,2009,Oromia,Horo Gudru Wellega,Horo,27,0,65,92
Megabit,7th,2010,Oromia,Borena,Dilo,88,33,53,174
Meskerem,1st,2011,Oromia,Qeleme Wellega,Yemalogi Wolel,12,93,52,157
Tahesas,4th,2010,Oromia,Guji,Bore,53,96,32,181
Hamle,11th,2009,Oromia,East Hararge,Fedis,92,44,58,194
Ginbot,9th,2009,Oromia,West Wellega,Yubdo,79,58,49,186
Sene,10th,2010,Oromia,Jimma,Nono Benja,55,77,67,199
Tir,5th,2009,Oromia,West Hararge,Chiro Zuriya,4,87,55,146
Sene,10th,2011,Oromia,Ilu Aba Bora,Doreni,54,16,73,143
Sene,10th,2010,Oromia,Arsi,Guna,17,78,8,103
Megabit,7th,2010,Oromia,West Arsi,Nensebo,63,53,38,154
Sene,10th,2009,Oromia,West Shewa,Liban Jawi,69,71,70,210
Nehase,12th,2009,Oromia,Jimma,B/Tolyi,85,88,69,242
Hedar,3rd,2011,Oromia,East Shewa,Bora,61,27,89,177
Megabit,7th,2011,Oromia,West Guji,Bule Hora,81,51,28,160
Meskerem,1st,2010,Oromia,Guji,Aga Wayyu,65,50,90,205
Megabit,7th,2010,Oromia,West Shewa,Metarobi,1,97,49,147
Ginbot,9th,2009,Oromia,Jimma,Setema,23,21,61,105
Meskerem,1st,2011,Oromia,East Shewa,Fentale,20,76,60,156
Nehase,12th,2010,Oromia,Borena,Teltele,38,87,88,213
Miyazia,8th,2010,Oromia,East Hararge,Chelenko Hospital,19,4,73,96
Hamle,11th,2009,Oromia,Sebeta Town,Sebeta Town,20,26,59,105
Nehase,12th,2009,Oromia,East Wellega,Gudeyabila,60,5,89,154
Sene,10th,2010,Oromia,North Shewa,Hidabu Abote,77,78,56,211
Tir,5th,2011,Oromia,West Shewa,Gindeberet Hospital,64,26,13,103
Tahesas,4th,2011,Oromia,Bale,Dawe Serar,36,1,48,85
Miyazia,8th,2010,Oromia,Horo Gudru Wellega,Abay Chomen,51,36,38,125
Ginbot,9th,2010,Oromia,Bale,Dawe Serar,79,41,72,192
Hamle,11th,2009,Oromia,Arsi,Tena,99,45,29,173
Tir,5th,2010,Oromia,West Shewa,Adea Berga,72,63,87,222
Hamle,11th,2010,Oromia,Bale,Legehida,95,94,16,205
Hedar,3rd,2011,Oromia,Bale,Sinana,36,69,45,150
Tahesas,4th,2010,Oromia,East Wellega,Guto Gida,66,84,39,189
Hedar,3rd,2010,Oromia,Borena,Wachile,19,68,4,91
Hamle,11th,2010,Oromia,Guji,Adola Hospital,67,45,15,127
Hamle,11th,2010,Oromia,West Arsi,Bishan Guracha Town,86,71,61,218
Teqemt,2nd,2011,Oromia,North Shewa,Kuyu Hospital,0,61,97,158
Teqemt,2nd,2011,Oromia,Guji,Adola Hospital,13,29,74,116
Tahesas,4th,2010,Oromia,West Wellega,Mene Sibu,74,66,25,165
Hamle,11th,2010,Oromia,North Shewa,Fichetown,40,69,25,134
Tir,5th,2009,Oromia,Arsi,Bekoji Town,14,61,57,132
Tir,5th,2009,Oromia,West Hararge,Burka Dimtu,38,63,71,172
Megabit,7th,2010,Oromia,West Shewa,Inchini Hospital,57,48,2,107
Meskerem,1st,2011,Oromia,West Wellega,Gimbi Rural,46,30,88,164
Teqemt,2nd,2010,Oromia,Bale,Delo Mena,94,45,20,159
Miyazia,8th,2011,Oromia,West Wellega,Mene Sibu,10,59,13,82
Ginbot,9th,2009,Oromia,Jimma,Sekoru,69,86,33,188
Sene,10th,2010,Oromia,Arsi,Enkelo Wabe,57,34,52,143
Ginbot,9th,2011,Oromia,Buno Bedele,Chora,65,74,50,189
Teqemt,2nd,2010,Oromia,Ilu Aba Bora,Doreni,18,79,93,190
Tir,5th,2011,Oromia,East Shewa,Boset,78,0,62,140
Ginbot,9th,2010,Oromia,Horo Gudru Wellega,Horro Buluk,66,3,70,139
Tahesas,4th,2010,Oromia,West Guji,Gelana,98,3,47,148
Meskerem,1st,2010,Oromia,East Shewa,Adea,42,90,95,227
Yekatit,6th,2010,Oromia,Borena,Dire,82,51,83,216
Miyazia,8th,2010,Oromia,West Guji,Mkelka Soda,84,54,56,194
Megabit,7th,2009,Oromia,Guji,Shakiso Town,34,51,21,106
Tir,5th,2009,Oromia,West Hararge,Meiso,73,92,40,205
Megabit,7th,2010,Oromia,West Shewa,Chelia,67,58,72,197
Yekatit,6th,2011,Oromia,West Shewa,Adea Berga,80,32,41,153
Tir,5th,2009,Oromia,Jimma,Seka Chekorsa,80,1,70,151
Megabit,7th,2010,Oromia,Modjo Town,Modjo Town,18,63,30,111
Nehase,12th,2009,Oromia,West Wellega,Babo Gembel,46,67,59,172
Megabit,7th,2009,Oromia,West Wellega,Homa,48,52,25,125
Miyazia,8th,2011,Oromia,South West Shewa,Ameya,11,93,34,138
Yekatit,6th,2009,Oromia,East Shewa,Lomme,97,61,86,244
Tir,5th,2011,Oromia,Borena,Yabelo,91,41,62,194
Hamle,11th,2010,Oromia,Guji,Bore,45,90,34,169
Meskerem,1st,2010,Oromia,North Shewa,Hidabu Abote,29,33,35,97
Hedar,3rd,2010,Oromia,East Hararge,Fedis,31,17,36,84
Meskerem,1st,2011,Oromia,West Shewa,Jeldu,75,35,59,169
Ginbot,9th,2011,Oromia,North Shewa,Hidabu Abote,43,97,81,221
Megabit,7th,2010,Oromia,Ilu Aba Bora,Darimu,47,66,39,152
Tahesas,4th,2011,Oromia,West Shewa,Nono,78,18,95,191
Miyazia,8th,2010,Oromia,East Hararge,Haromaya Rural,35,27,2,64
Yekatit,6th,2010,Oromia,Assela Town,Assela Town,66,29,12,107
Megabit,7th,2011,Oromia,North Shewa,Yaya Gulele,32,31,86,149
Meskerem,1st,2011,Oromia,East Hararge,Haromaya Hospital,64,39,59,162
